International_data,,,,,,,,,,,,,,,,,,,,,,,
http://www.eia.gov/beta/international/data/browser/#?ord=CR&cy=2013&v=H&vo=0&so=0&io=0&start=1993&end=2013&vs=INTL.7-2-AFG-TST.A~INTL.7-2-ALB-TST.A~INTL.7-2-DZA-TST.A~INTL.7-2-ASM-TST.A~INTL.7-2-AGO-TST.A~INTL.7-2-ATA-TST.A~INTL.7-2-ATG-TST.A~INTL.7-2-ARG-TST.A~INTL.7-2-ARM-TST.A~INTL.7-2-ABW-TST.A~INTL.7-2-AUS-TST.A~INTL.7-2-AUT-TST.A~INTL.7-2-AZE-TST.A~INTL.7-2-BHS-TST.A~INTL.7-2-BHR-TST.A~INTL.7-2-BGD-TST.A~INTL.7-2-BRB-TST.A~INTL.7-2-BLR-TST.A~INTL.7-2-BEL-TST.A~INTL.7-2-BLZ-TST.A~INTL.7-2-BEN-TST.A~INTL.7-2-BMU-TST.A~INTL.7-2-BTN-TST.A~INTL.7-2-BOL-TST.A~INTL.7-2-BIH-TST.A~INTL.7-2-BWA-TST.A~INTL.7-2-BRA-TST.A~INTL.7-2-BRN-TST.A~INTL.7-2-BGR-TST.A~INTL.7-2-BFA-TST.A~INTL.7-2-MMR-TST.A~INTL.7-2-BDI-TST.A~INTL.7-2-KHM-TST.A~INTL.7-2-CMR-TST.A~INTL.7-2-CAN-TST.A~INTL.7-2-CPV-TST.A~INTL.7-2-CYM-TST.A~INTL.7-2-CAF-TST.A~INTL.7-2-TCD-TST.A~INTL.7-2-CHL-TST.A~INTL.7-2-CHN-TST.A~INTL.7-2-COL-TST.A~INTL.7-2-COM-TST.A~INTL.7-2-COG-TST.A~INTL.7-2-COD-TST.A~INTL.7-2-COK-TST.A~INTL.7-2-CRI-TST.A~INTL.7-2-CIV-TST.A~INTL.7-2-HRV-TST.A~INTL.7-2-CUB-TST.A~INTL.7-2-CYP-TST.A~INTL.7-2-CZE-TST.A~INTL.7-2-DNK-TST.A~INTL.7-2-DJI-TST.A~INTL.7-2-DMA-TST.A~INTL.7-2-DOM-TST.A~INTL.7-2-ECU-TST.A~INTL.7-2-EGY-TST.A~INTL.7-2-SLV-TST.A~INTL.7-2-GNQ-TST.A~INTL.7-2-ERI-TST.A~INTL.7-2-EST-TST.A~INTL.7-2-ETH-TST.A~INTL.7-2-FLK-TST.A~INTL.7-2-FRO-TST.A~INTL.7-2-FJI-TST.A~INTL.7-2-FIN-TST.A~INTL.7-2-CSK-TST.A~INTL.7-2-SCG-TST.A~INTL.7-2-SUN-TST.A~INTL.7-2-YUG-TST.A~INTL.7-2-FRA-TST.A~INTL.7-2-GUF-TST.A~INTL.7-2-PYF-TST.A~INTL.7-2-GAB-TST.A~INTL.7-2-GMB-TST.A~INTL.7-2-GEO-TST.A~INTL.7-2-DEU-TST.A~INTL.7-2-DDR-TST.A~INTL.7-2-DEUW-TST.A~INTL.7-2-GHA-TST.A~INTL.7-2-GIB-TST.A~INTL.7-2-GRC-TST.A~INTL.7-2-GRL-TST.A~INTL.7-2-GRD-TST.A~INTL.7-2-GLP-TST.A~INTL.7-2-GUM-TST.A~INTL.7-2-GTM-TST.A~INTL.7-2-GIN-TST.A~INTL.7-2-GNB-TST.A~INTL.7-2-GUY-TST.A~INTL.7-2-HTI-TST.A~INTL.7-2-HITZ-TST.A~INTL.7-2-HND-TST.A~INTL.7-2-HKG-TST.A~INTL.7-2-HUN-TST.A~INTL.7-2-ISL-TST.A~INTL.7-2-IND-TST.A~INTL.7-2-IDN-TST.A~INTL.7-2-IRN-TST.A~INTL.7-2-IRQ-TST.A~INTL.7-2-IRL-TST.A~INTL.7-2-ISR-TST.A~INTL.7-2-ITA-TST.A~INTL.7-2-JAM-TST.A~INTL.7-2-JPN-TST.A~INTL.7-2-JOR-TST.A~INTL.7-2-KAZ-TST.A~INTL.7-2-KEN-TST.A~INTL.7-2-KIR-TST.A~INTL.7-2-PRK-TST.A~INTL.7-2-KOR-TST.A~INTL.7-2-UNK-TST.A~INTL.7-2-KWT-TST.A~INTL.7-2-KGZ-TST.A~INTL.7-2-LAO-TST.A~INTL.7-2-LVA-TST.A~INTL.7-2-LBN-TST.A~INTL.7-2-LSO-TST.A~INTL.7-2-LBR-TST.A~INTL.7-2-LBY-TST.A~INTL.7-2-LTU-TST.A~INTL.7-2-LUX-TST.A~INTL.7-2-MAC-TST.A~INTL.7-2-MKD-TST.A~INTL.7-2-MDG-TST.A~INTL.7-2-MWI-TST.A~INTL.7-2-MYS-TST.A~INTL.7-2-MDV-TST.A~INTL.7-2-MLI-TST.A~INTL.7-2-MLT-TST.A~INTL.7-2-MTQ-TST.A~INTL.7-2-MRT-TST.A~INTL.7-2-MUS-TST.A~INTL.7-2-MEX-TST.A~INTL.7-2-FSM-TST.A~INTL.7-2-MDA-TST.A~INTL.7-2-MNG-TST.A~INTL.7-2-MNE-TST.A~INTL.7-2-MSR-TST.A~INTL.7-2-MAR-TST.A~INTL.7-2-MOZ-TST.A~INTL.7-2-NAM-TST.A~INTL.7-2-NRU-TST.A~INTL.7-2-NPL-TST.A~INTL.7-2-NLD-TST.A~INTL.7-2-NLDA-TST.A~INTL.7-2-NCL-TST.A~INTL.7-2-NZL-TST.A~INTL.7-2-NIC-TST.A~INTL.7-2-NER-TST.A~INTL.7-2-NGA-TST.A~INTL.7-2-NIU-TST.A~INTL.7-2-MNP-TST.A~INTL.7-2-NOR-TST.A~INTL.7-2-OMN-TST.A~INTL.7-2-PAK-TST.A~INTL.7-2-PSE-TST.A~INTL.7-2-PAN-TST.A~INTL.7-2-PNG-TST.A~INTL.7-2-PRY-TST.A~INTL.7-2-PER-TST.A~INTL.7-2-PHL-TST.A~INTL.7-2-POL-TST.A~INTL.7-2-PRT-TST.A~INTL.7-2-PRI-TST.A~INTL.7-2-QAT-TST.A~INTL.7-2-REU-TST.A~INTL.7-2-ROU-TST.A~INTL.7-2-RUS-TST.A~INTL.7-2-RWA-TST.A~INTL.7-2-SHN-TST.A~INTL.7-2-KNA-TST.A~INTL.7-2-LCA-TST.A~INTL.7-2-SPM-TST.A~INTL.7-2-VCT-TST.A~INTL.7-2-WSM-TST.A~INTL.7-2-STP-TST.A~INTL.7-2-SAU-TST.A~INTL.7-2-SEN-TST.A~INTL.7-2-SRB-TST.A~INTL.7-2-SYC-TST.A~INTL.7-2-SLE-TST.A~INTL.7-2-SGP-TST.A~INTL.7-2-SVK-TST.A~INTL.7-2-SVN-TST.A~INTL.7-2-SLB-TST.A~INTL.7-2-SOM-TST.A~INTL.7-2-ZAF-TST.A~INTL.7-2-ESP-TST.A~INTL.7-2-LKA-TST.A~INTL.7-2-SDN-TST.A~INTL.7-2-SUR-TST.A~INTL.7-2-SWZ-TST.A~INTL.7-2-SWE-TST.A~INTL.7-2-CHE-TST.A~INTL.7-2-SYR-TST.A~INTL.7-2-TWN-TST.A~INTL.7-2-TJK-TST.A~INTL.7-2-TZA-TST.A~INTL.7-2-THA-TST.A~INTL.7-2-TLS-TST.A~INTL.7-2-TGO-TST.A~INTL.7-2-TON-TST.A~INTL.7-2-TTO-TST.A~INTL.7-2-TUN-TST.A~INTL.7-2-TUR-TST.A~INTL.7-2-TKM-TST.A~INTL.7-2-TCA-TST.A~INTL.7-2-TUV-TST.A~INTL.7-2-USIQ-TST.A~INTL.7-2-USOH-TST.A~INTL.7-2-UGA-TST.A~INTL.7-2-UKR-TST.A~INTL.7-2-ARE-TST.A~INTL.7-2-GBR-TST.A~INTL.7-2-USA-TST.A~INTL.7-2-URY-TST.A~INTL.7-2-UZB-TST.A~INTL.7-2-VUT-TST.A~INTL.7-2-VEN-TST.A~INTL.7-2-VNM-TST.A~INTL.7-2-VIR-TST.A~INTL.7-2-VGB-TST.A~INTL.7-2-WAK-TST.A~INTL.7-2-ESH-TST.A~INTL.7-2-YEM-TST.A~INTL.7-2-ZMB-TST.A~INTL.7-2-ZWE-TST.A&c=ruvvvvvfvtvnvv1vrvvvvfvvvvvvfvvvou20evvvvvvvvvvvvuvo&pa=000000000000000000000000000000000000004&f=A&ug=g&ct=0&tl_type=p&tl_id=1-A&s=,,,,,,,,,,,,,,,,,,,,,,,
Mon Apr 25 2016 06:44:17 GMT-0400 (EDT),,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,
,,,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
,Chile,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,2940,3466,3738,5176,6744,6400,6547,5061,3972,4001,3826,5075,5039,6313,6277,9019,7700,9113,11042,11871,11168
,Colombia,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,6089,5989,6049,5351,4932,5850,3779,3674,4548,3725,4247,3614,4413,3965,3471,5022,5553,7087,7152,6315,7678
,Comoros,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
,Congo (Brazzaville),,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
,Congo (Kinshasa),,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,161
,Cook Islands,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
,Costa Rica,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,1.1,55,1.1,40,2.2,2.2,2.2,28,1.1,4.4,1.1,9.9,3.3,3.3
,Cote dIvoire (IvoryCoast),,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
,Croatia,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,1116,705,365,293,462,434,383,775,861,1064,1238,1311,1257,1181,1263,1303,935,1291,1319,1160,1228
,Cuba,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,77,96,85,1.1,18,21,25,24,14,29,28,25,24,,20,26,25,25,25,24,2.9
,Cyprus,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,34,30,22,20,21,29,33,54,58,58,58,64,58,61,55,45,24,30,14,1.1,1.1
,Czech Republic,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,79417,72789,72299,72463,70304,64474,55500,66405,64057,61748,63289,62008,62158,64266,64668,60346,56138,55952,56735,53484,50140
,Denmark,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,12930,14121,12157,16541,12394,10428,8282,7355,7726,7589,10395,8012,6956,9938,8687,7366,7439,6929,6021,4502,5656
,Djibouti,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
,Dominica,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
,Dominican Republic,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,237,67,88,115,117,165,5.5,103,224,257,422,475,525,776,802,811,795,740,1069,961,924
,Ecuador,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,22
,Egypt,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,1634,2041,1698,2068,1792,1631,1554,2017,1800,1930,2001,2046,2001,1995,1813,1633,1451,1088,1088,998,180
,El Salvador,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
,Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
,Eritrea,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,--,,,,,,,,,,,,,,,,,,,,
,Estonia,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,147,105,94,127,108,83,87,95,119,67,49,64,62,77,143,142,96,66,77,71,67
,Ethiopia,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,17,46,55,187,375,321
,Falkland Islands (Islas Malvinas),,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
,Faroe Islands,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
,Fiji,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,22,22,22,24,24,22,20,19,17,18,18,0.2,,,,,,,,,
,Finland,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,6497,8565,7184,8405,7710,5733,5530,5719,6888,7228,9703,8996,5205,8149,7994,5368,5712,7718,6159,5017,6455
,Former Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,Former Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,40632,37203,44759,44276,47398,48698,36658,41143,40305,42551,44607,45635,40389,--,--,--,--,--,--,--,--
,Former U.S.S.R.,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,Former Yugoslavia,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,France,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,25409,24544,26624,28267,23001,27956,24688,23894,19007,21151,23964,23767,22973,20122,22214,20957,18728,20112,16907,19654,21594
,French Guiana,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
,French Polynesia,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
,Gabon,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
,"Gambia, The",,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
,Georgia,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,313,457,51,22,13,40,31,39,4,6.6,13,15,20,18,21,130,249,190,162,284,471
,Germany,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,333973,316023,294363,287211,270474,259892,250138,263603,272037,269429,267116,273697,267138,273921,275968,263006,244457,256312,259831,270167,270404
,"Germany, East",,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,"Germany, West",,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,Ghana,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,33
,Gibraltar,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
,Greece,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,62429,65488,64421,65704,66067,68235,68320,72405,75489,76811,78156,78961,77888,71717,73946,71854,72256,64285,66533,68631,60284
,Greenland,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
,Grenada,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
,Guadeloupe,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
,Guam,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
,Guatemala,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,17,237,220,430,403,471,451,472,492,499,324,543,545,550,631
,Guinea,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
,Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
,Guyana,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
,Haiti,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
,Hawaiian Trade Zone,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,Honduras,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,62,149,136,155,186,195,266,65,71,117,114,118,179,180,33
,Hong Kong,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,12398,8066,9362,6038,5881,7695,7381,5773,8855,9610,11768,11785,11931,12570,13515,12506,13593,11380,13811,13615,14299
,Hungary,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,19863,18500,18663,19223,19057,18303,18407,16725,16806,15492,16190,14850,12774,13263,13286,13048,11768,12113,12802,12573,12404
,Iceland,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,58,78,72,73,64,77,66,111,108,108,94,115,129,119,133,120,108,117,116,116,132
,India,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,290412,306330,325108,341652,354340,357876,379358,393630,406167,422683,435676,484180,511045,543706,592559,639538,716763,746261,782858,853860,886052
,Indonesia,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,14592,11225,12695,21304,11708,9388,11757,22778,28822,31995,21157,45416,47083,56081,51275,47796,68301,70823,50011,58631,61765
,Iran,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,1813,1824,1704,1788,1830,2131,2013,2000,1771,1872,1951,1542,2372,2518,2176,2400,816,821,682,851,1019
,Iraq,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
,Ireland,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,3059,2946,2954,3279,3125,3276,2787,3320,3360,3009,3114,3198,3331,2933,2858,2543,2080,2269,2350,2709,2368
,Israel,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,6227,6604,7228,8644,9524,10248,9938,12052,12589,14029,13953,14366,12736,14679,14587,14559,12548,13583,14193,15968,12922
,Italy,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,17261,18378,19447,18075,17666,19031,18850,19889,21442,22065,23319,26774,26729,27344,27692,27463,21990,23988,26946,27762,23232
,Jamaica,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,61,58,61,71,74,78,79,58,58,97,94,103,63,26,40,53,69,60,72,78,105
,Japan,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,131464,140740,146627,149815,153991,144956,156368,172860,177964,179711,186186,216259,193332,199409,210180,216800,181356,217011,198637,209554,222304
,Jordan,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,353
,Kazakhstan,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,88771,86836,71457,63943,53573,53664,50248,45851,51899,51900,54570,68504,70291,75657,80190,79463,75284,81149,91272,88944,87485
,Kenya,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,144,134,172,159,162,131,128,118,118,176,165,193,160,214,196,195,170,295,422,378,374
,Kiribati,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
,"Korea, North",,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,31974,29342,26830,22896,22472,20254,22977,24405,25403,23778,24127,23670,24577,27271,22731,25488,24334,22895,15929,15506,21666
,"Korea, South",,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,47942,47963,49451,50253,57696,58141,63701,79095,85778,85287,83901,87823,90291,92280,100873,112910,117198,132964,146150,138424,142464
,Kosovo,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8197,9359,9816,9491,8896,9072
,Kuwait,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,290
,Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,2445,2237,873,1281,1353,1344,1342,1247,893,1365,1606,1516,1441,1327,1564,2167,1908,1861,2016,2832,2562
,Laos,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,1.1,1.1,26,56,105,175,239,262,192,298,306,434,438,468,504,516,551,591,607,629,380
,Latvia,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,660,468,278,263,216,161,139,107,140,112,111,108,132,143,179,179,143,184,190,153,133
,Lebanon,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,122,123,198,220,220,220,220,220,220,220,220,220,220,220,220,220,220,248,276,276,220
,Lesotho,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
,Liberia,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
,Libya,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
,Lithuania,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,649,531,410,373,289,245,196,144,129,233,299,291,316,440,418,357,267,331,367,345,394
,Luxembourg,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,305,346,239,267,214,168,169,190,211,126,95,139,134,162,133,127,115,112,98,90,83
,Macau,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,2.2,2.2,2.2,2.2,1.1,1.1,1,1.2,1.1,1.1,1.5,1.7,1.3,1.3,1.5,,,,,,
,Macedonia,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,7618,7975,8196,8082,8315,9371,8499,8661,9353,8092,8356,8340,8256,7599,7762,8588,8247,7678,8891,8428,7706
,Madagascar,,,,,,,,,,,,,,,,,,,,,,
