International_data,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.eia.gov/beta/international/data/browser/#?ord=CR&cy=2014&v=H&vo=0&so=0&io=0&start=1980&end=2014&vs=INTL.44-1-AFRC-QBTU.A~INTL.44-1-ASOC-QBTU.A~INTL.44-1-CSAM-QBTU.A~INTL.44-1-EURA-QBTU.A~INTL.44-1-EURO-QBTU.A~INTL.44-1-MIDE-QBTU.A~INTL.44-1-NOAM-QBTU.A~INTL.44-1-WORL-QBTU.A&c=4100000002000060000000000000g000200000000000000001&pa=rjugfvg000000000000000000000000000vg018001&f=A&ug=g&ct=1&tl_type=a&tl_id=1-A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Apr 20 2016 08:13:38 GMT-0400 (EDT),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Primary Energy,Quad Btu,59.045,60.946,62.382,64.487,67.634,72.422,75.232,75.993,76.487,77.183,81.72,85.076,88.533,95.429,105.024,113.95,120.196,127.625,132.031,137.914,150.762,159.498,161.92,158.897,
,Biofuels,1000 bbl/d,,,,,,,,,,,2.9,3.1,8.3,17,21,29,45,50,75,94,101,133,149,,
,Fuel Ethanol,1000 bbl/d,,,,,,,,,,,2.9,3,8.2,17,21,26,37,39,48,53,53,62,63,,
,Biodiesel,1000 bbl/d,,,,,,,,,,,,0.1,0.1,0.1,0.3,2.2,8.4,11,27,42,49,72,86,,
,Coal,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,1774239,1820191,1878732,1927389,2022474,2140288,2256867,2251326,2244789,2239769,2393109,2536691,2710262,3066619,3493460,3879320,4125170,4459798,4613103,4855730,5293066,5830344,6004623,6191752,
,Anthracite,1000 ST,,,,,,,,,,,,,,,,,,,,,,,,711955,
,Metallurgical Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,,,,878268,
,Bituminous,1000 ST,,,,,,,,,,,,,,,,,,,,,,,,3740751,
,Subbituminous,1000 ST,,,,,,,,,,,,,,,,,,,,,,,,282049,
,Lignite,1000 ST,,,,,,,,,,,,,,,,,,,,,,,,578728,
,Secondary Coal,1000 ST,171896,172470,173065,187990,191200,231481,232403,235060,223824,211931,215607,231519,237247,275301,304899,371092,407105,429242,442877,457102,493313,542335,545643,,
,Metallurgical Coke,1000 ST,171896,172470,173065,187990,191200,231481,232403,235060,223824,211931,215607,231519,237247,275301,304899,371092,407105,429242,442877,457102,493313,542335,545643,NA,
,Petroleum,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Petroleum and Other Liquids,1000 bbl/d,6736,6936,6914,7015,7198,7501,7741,7947,8042,8073,8316,8290,8321,8250,8337,8538,8560,8537,8703,8768,9179,9048,9152,9199,9258
,"Crude Oil, NGPL, and Other Liquids",1000 bbl/d,6675,6863,6838,6919,7093,7327,7525,7717,7781,7776,7984,7914,7942,7863,7906,8085,8077,8039,8172,8164,8542,8386,8441,8448,8502
,Crude Oil including Lease Condensate,1000 bbl/d,6468,6660,6615,6680,6822,7043,7205,7322,7324,7319,7538,7454,7445,7331,7431,7537,7533,7497,7613,7577,7907,7716,7739,7659,7656
,NGPL,1000 bbl/d,181,181,208,221,246,261,221,237,345,434,319,430,384,488,435,510,483,479,474,363,505,502,501,565,597
,Other Liquids,1000 bbl/d,15,12,15,17,25,23,18,22,22,23,29,30,33,43,33,38,55,62,86,114,128,162,197,218,245
,Refinery Processing Gain,1000 bbl/d,62,72,76,96,105,174,216,231,261,297,332,376,379,387,432,453,483,498,530,604,637,662,712,751,756
