,,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Total Primary Coal,1000 ST,6192,5686,5533,5633,5428,5574,5472,5715,5667,6111,5852,7559,8279,9145,10343,11260,15966,27804,35369,33058,33246
Montenegro,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,--,--,--,--,--,--,--,--,--,--,--,--,--,1667,1326,1918,1055,2136,2175,1969,2152
Montserrat,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,666,717,717,558,414,297,142,34,2.2,,,26,13,4.4,,,,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,44,44,42,22,20,20,19,18,31,49,41,19,3.3,45,26,42,29,39,680,4993,6702
Namibia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Nauru,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Nepal,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,2.2,6.6,6.6,8.8,18,12,20,19,11,13,12,9.9,13,22,15,17,17,18,19,18,18
Netherlands,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,3678,3343,3943,3980,3931,3447,3864,3813,4311,4915,5709,5682,5806,6253,5329,5325,5031,5876,5451,5435,5099
Nicaragua,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,190,190,191,191,192,192,193,174,180,202,208,261,201,194,189,202,248,272,271,259,263
Nigeria,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,31,28,22,8.8,11,13,18,3.3,3.3,47,25,8.8,8.8,8.8,25,35,37,42,35,53,53
Niue,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,295,332,322,254,425,362,445,697,1971,2350,3245,3201,1621,2640,4490,3781,2911,2133,1528,1355,2045
Oman,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Pakistan,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,3389,3543,3354,3820,3854,3815,3491,3411,3668,3651,3610,5056,5369,4016,4546,4122,3837,3804,3983,3504,3368
Palestinian Territories,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,--,--,--,--,,,,,,,,,,,,,,,,,
Panama,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,92,69,57,23,24,23,24,18,21,24,17,18,47,113,118,147,160,101,109,164,208
Philippines,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,1744,1597,1465,1221,1186,1275,1297,1491,1356,1835,2238,3005,3487,2853,4119,4384,5706,8088,8390,8987,7816
Poland,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,218901,221237,221248,222352,221481,196813,188564,179473,180276,178481,180552,179046,175863,172034,160772,158747,149001,146870,153540,158835,157440
Portugal,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,217,162,,,,,,,,,,,,,,,,,,,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Reunion,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,43818,44695,45328,46153,37266,28915,25223,32281,36695,33526,36446,35045,34288,38496,39441,39530,37436,34312,39145,37418,27254
Rwanda,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Saint Helena,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Saint Pierre and Miquelon,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Saint Vincent/Grenadines,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Senegal,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Serbia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,--,--,--,--,--,--,--,--,--,--,--,--,--,40543,40949,42669,42438,41861,45310,42146,44420
Seychelles,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Singapore,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Slovakia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,3910,4006,4144,4221,4316,4355,4131,4021,3774,3752,3414,3254,2768,2426,2327,2671,2836,2621,2619,2526,2596
Slovenia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,5645,5351,5384,5255,5641,5393,5029,4937,4556,5167,5324,5301,5003,4985,4999,4984,4882,4883,4962,4716,4274
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,207470,215838,227308,227475,242589,245790,246382,247138,246432,242743,263178,268271,270053,269881,273005,278017,276171,283521,278616,285031,282502
Spain,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,34814,32665,31201,29751,29200,28812,26785,25872,24998,24288,22666,22583,21474,20334,18940,11229,10411,9292,7298,6818,4816
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Sudan and South Sudan,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Swaziland,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,55,201,189,143,376,376,487,384,496,562,453,489,497,489,509,496,441,386,331,276,386
Sweden,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,4.4,0.5,,,,,,,,,,,,,,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Syria,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Taiwan,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,362,314,259,163,109,87,101,92,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,412,120,45,22,19,21,21,24,26,40,52,103,109,116,200,219,223,220,260,454,632
Tanzania,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,49,51,49,63,31,50,83,87,86,87,61,72,34,20,30,17,28,52,50,106,77
Thailand,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,17137,18844,20306,23678,25786,22226,20135,19520,21624,21607,20771,22112,23014,20945,20105,19822,19606,20221,23509,19918,19391
Timor-Leste (East Timor),,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,
Togo,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Tonga,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Tunisia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Turkey,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,53528,59934,60708,62129,66060,74277,73897,69741,68450,59507,53531,51122,64309,70829,83074,87526,87633,80908,83903,78772,57839
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,NA
U.S. Pacific Islands,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
U.S. Territories,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,116544,95352,84104,62791,64568,65618,69248,68787,67995,67854,70804,65686,66537,67981,64954,71033,65735,63558,76791,74701,72497
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,75176,54879,58463,55333,53457,45390,40870,34390,35197,33057,31172,27664,22595,20411,18747,19901,19703,20300,20533,18791,14154
Uruguay,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,5133,5126,3366,3127,3249,3222,3274,2833,2988,3016,2109,3069,3391,3566,3794,3627,4028,4001,4237,4247,4508
Vanuatu,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Venezuela,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,5117,5737,5450,4880,6902,10000,9360,10575,10173,9883,9129,9050,9650,10556,8177,6601,4402,3661,2816,4185,2833
Vietnam,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,6504,6283,9204,10828,12553,12866,10614,12797,14288,17527,18409,30147,37581,42745,46829,43847,48588,49422,51380,46719,43712
"Virgin Islands,  U.S.",,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
"Virgin Islands, British",,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Wake Island,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Yemen,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Zambia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,367,180,167,186,198,214,208,214,224,235,246,131,165,71,15,4.4,62,,,56,99
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,5894,5463,5173,4871,4424,4597,5099,4696,4569,4367,3913,3764,3991,3800,3661,2776,2942,3225,3526,3303,3838
,,,,,,,,,,,,,,,,,,,,,,
Sum,,2273979.5,2207137.9,2235155.2,2237876.9,2275568.7,2242210.8,2190634.6,2262041.1,2326678.6,2358402.6,2429453.8,2499679.5,2583811.6,2646913.1,2749287,2795348.4,2861130,3005025,3154457.5,3233429.5,3233102.2
