,,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Generation,Billion Kwh,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.5,0.6,0.6,0.7
Burma (Myanmar),,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,3.3,3.5,3.9,3.8,4.3,3.9,4.4,4.9,4.5,5,5.4,5.4,5.8,6,6.2,6.4,6.8,7.3,9.7,10,12
Burundi,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,0.1,0.1,0.1,0.1,0.1,0.1,(s),0.1,0.1,0.1,0.1,(s),(s),(s),0.1,0.1,0.1,0.1,0.2,0.2,0.2
Cambodia,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.7,0.7,0.8,0.9,1.1,1.4,1.4,1.2,0.9,1,1.4,1.7
Cameroon,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,2.7,2.7,2.8,2.9,3.1,3.1,3.3,3.4,3.5,3.3,3.6,4.1,4,5,5.1,5.6,5.6,5.8,5.8,6.1,6.7
Canada,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,518,540,544,558,558,546,563,588,572,584,572,582,606,593,613,615,595,583,625,615,641
Cape Verde,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,(s),(s),(s),(s),(s),(s),0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.4,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6
Central African Republic,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,(s),(s),0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Chad,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,(s),(s),(s),(s),(s),(s),(s),(s),(s),0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2
Chile,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,23,24,29,31,33,35,37,40,41,42,45,49,51,54,56,58,59,58,63,67,70
Colombia,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,38,41,43,44,45,45,43,42,42,44,46,49,49,53,54,55,56,57,61,59,56
Comoros,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s)
Congo (Brazzaville),,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,0.4,0.3,0.4,0.5,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.8,1.3,1.7,1.7
Congo (Kinshasa),,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,5.5,5.3,6.1,6,5,4.7,5.3,5.9,5.9,6.1,6.1,7,7.3,7.5,7.8,7.5,7.8,7.8,7.8,7.9,8.5
Cook Islands,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s)
Costa Rica,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,4.9,5.2,4.8,4.7,5.6,5.3,6.1,6.8,6.9,7.4,7.3,8,8.2,8.6,8.9,9.4,9.2,9.5,9.7,10,10
Cote dIvoire (IvoryCoast),,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,2.1,2.4,3,3.1,3.8,3.8,4.6,4.6,4.7,5.1,4.9,5.3,5.4,5.4,5.4,5.6,5.6,5.7,5.8,6.7,7
Croatia,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,9,8,8.6,10,9.4,11,12,10,12,12,12,13,12,12,12,12,12,14,10,10,13
Cuba,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,11,11,12,13,13,13,14,14,14,15,15,15,14,16,17,17,17,16,17,17,18
Cyprus,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,2.4,2.5,2.3,2.4,2.5,2.8,3,3.2,3.3,3.6,3.8,3.9,4.1,4.4,4.6,4.8,4.9,5,4.6,4.4,4
Czech Republic,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,56,55,57,60,61,61,60,69,70,72,78,79,77,79,83,78,77,80,82,82,81
Denmark,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,32,38,35,51,42,39,37,34,36,37,44,39,35,43,38,34,34,37,33,29,34
Djibouti,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4
Dominica,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s)
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,5.2,4.8,5.2,6.3,6.8,7.3,8.6,8.1,9.7,12,13,11,12,13,14,12,12,12,13,14,14
Ecuador,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,7.3,8,8.2,9.1,9.4,9.9,10,10,11,12,11,13,12,14,17,18,18,19,20,22,22
Egypt,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,48,50,53,52,56,60,65,74,79,84,90,96,103,109,118,124,131,139,149,155,159
El Salvador,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,2.4,2.8,3.3,3.3,3.5,3.7,3.7,3.7,3.8,4,4.3,4.3,4.7,5.6,5.7,6,5.8,6.1,6,6.2,6.1
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s)
Eritrea,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Estonia,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,8.6,8.6,8.2,8.6,8.7,8,7.8,8,8,8.1,9.6,9.7,9.6,9.2,11,10,8.3,12,12,11,13
Ethiopia,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,1.4,1.4,1.5,1.5,1.6,1.6,1.6,1.7,2,2,2.3,2.5,2.8,3.2,3.5,3.7,3.9,4.9,6.3,7.5,8.6
Falkland Islands (Islas Malvinas),,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s)
Faroe Islands,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Fiji,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9
Finland,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,59,63,61,66,66,67,67,67,71,72,80,82,68,79,78,74,69,77,70,68,68
Former Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,,,,,,,,,,,,,,,,,,,,,
Former Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,32,32,35,38,38,35,31,32,33,33,33,36,35,,,,,,,,
Former U.S.S.R.,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,,,,,,,,,,,,,,,,,,,,,
Former Yugoslavia,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,,,,,,,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,447,453,468,483,477,482,495,510,520,526,534,541,545,543,538,542,506,538,531,535,539
French Guiana,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.6,0.6,0.7,0.7,0.7,0.9,0.9,1,1.1,1,0.8,0.7
French Polynesia,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.7,0.7,0.7
Gabon,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.4,1.5,1.5,1.5,1.6,1.7,1.8,1.8,1.9,2,2.1,2.3
"Gambia, The",,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,(s),(s),(s),(s),(s),(s),(s),0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3
Georgia,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,9.5,8.7,6.6,7.1,7,7.9,7.9,7.3,6.8,7.2,7.1,6.8,7.1,7.1,8.2,8.3,8.4,10,10,9.5,9.9
Germany,,,,,,,,,,,,,,,,,,,,,,
