,,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Total Petroleum and Other Liquids,1000 bbl/d,1896,2114,2159,2154,2122,2206,2018,2201,2126,2030,2268,2515,2672,2672,2603,2728,2506,2449,2681,2784,2799
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,2,1.6,2,2,1.8,1.7,1.7,2,2,1.5,1.4,1.4,2,2,0.9,0.9,1,1,1,1,1
Laos,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,0.2,0.3,0.3,0.5,0.9,1.2,1.1,1,1,1
Lebanon,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,0.3,,,,,,,,,,,,,,,,,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
Libya,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,1400,1416,1428,1447,1504,1448,1377,1469,1428,1383,1485,1582,1721,1810,1845,1874,1790,1785,501,1482,983
Lithuania,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,3.6,5.2,5.6,6.5,7.1,9.5,8.3,9.6,13,13,12,11,9.8,8.4,7.6,10,9.5,9.7,9.1,8.8,8.8
Luxembourg,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
Macau,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
Macedonia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,-0.2,(s),(s),(s),-0.2,-0.1,-0.1,-0.1,-0.2,-0.1,(s),(s),(s),(s),(s),(s),-0.1,(s),(s),(s),(s)
Madagascar,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),,,,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Malaysia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,660,676,718,730,765,823,793,771,751,795,842,804,807,767,756,771,734,734,670,690,669
Maldives,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
Mali,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
Malta,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,(s),(s),(s),(s),(s),,,,
Martinique,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,-0.1,(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),-0.2,-0.2,-0.2,-0.2,-0.2
Mauritania,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,-0.1,(s),(s),(s),(s),(s),(s),(s),,,,,,31,15,13,11,8.2,7.7,6.6,6.8
Mauritius,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,3140,3159,3075,3293,3422,3502,3354,3460,3570,3593,3808,3848,3784,3710,3500,3187,3001,2979,2960,2941,2915
Micronesia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,(s),(s),(s),(s),(s),(s)
Mongolia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,0.1,0.2,0.2,0.2,0.4,0.5,0.6,0.6,1,2.3,3.2,5.1,6,7,9.9,14
Montenegro,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,
Montserrat,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,-1.4,-1.5,-1.2,3.9,4.8,4.5,3.8,4,4,4.5,3.7,3.4,-0.7,-0.9,-1.1,-0.3,-0.2,-0.4,-1.7,-0.7,-0.7
Mozambique,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,(s),(s),(s),(s),(s)
Namibia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
Nauru,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
Nepal,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,90,132,118,113,108,108,90,88,81,98,101,96,84,74,85,69,63,55,59,60,58
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,-1.5,-1.5,-1.4,-1.4,-1.5,-1.5,(s),-0.8,-2.2,-1,-0.3,(s),-0.6,-0.7,0.5,0.7,-0.4,1.8,1,1,1
New Caledonia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,60,57,48,47,68,57,52,48,44,41,32,28,28,26,48,65,61,61,52,48,42
Nicaragua,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,(s),(s),(s),(s),-0.1,-0.5,-0.4,-0.4,-0.5,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,0.6,0.6,-0.4,-0.1,,
Niger,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,6.7,20,20
Nigeria,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,1967,1936,1998,2007,2140,2160,2136,2169,2261,2123,2279,2332,2631,2442,2353,2169,2212,2459,2555,2525,2372
Niue,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,2385,2700,2910,3241,3290,3147,3148,3355,3423,3342,3273,3197,2978,2786,2565,2465,2353,2144,2043,1922,1845
Oman,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,780,814,859,891,908,904,914,972,915,899,823,754,781,744,715,760,819,869,892,925,946
Pakistan,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,63,58,62,58,60,58,57,57,63,68,64,67,68,69,69,63,60,69,69,76,85
Palestinian Territories,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,--,--,--,--,,,,,,,,,,,,,,,,,
Panama,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,-1.2,-0.6,(s),-1.3,-0.6,-0.8,-1.4,-1.3,-2.2,-0.1,,,,,,,,,,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,126,110,100,103,80,79,97,70,68,55,50,46,40,45,42,38,35,31,30,27,28
Paraguay,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),0.6,0.8,1.1,1.7,2.2,2.3,2.2,2,2
Peru,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,126,128,130,121,119,116,107,100,96,97,92,94,112,119,116,122,149,164,160,162,176
Philippines,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,7.8,6.2,3.1,-1.6,-2.1,-1.5,-0.9,-0.4,7.8,10,14,24,26,26,25,27,29,39,32,26,27
Poland,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,8.3,8.6,8.3,9.2,10,14,18,23,25,23,23,35,39,40,35,36,34,29,28,28,34
Portugal,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,-0.8,0.7,2.8,3,3.4,3.2,3.1,2.4,3.9,3.7,4.5,3.8,4.1,5.6,6.4,7.5,5.4,5.6,5.2,5.3,7.1
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,470,467,499,563,623,783,779,879,880,871,1019,1162,1254,1284,1351,1484,1573,1788,1936,2032,2067
Reunion,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,143,149,149,150,150,147,140,137,140,140,134,132,125,117,116,117,113,107,106,102,104
Rwanda,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,(s),(s),(s),(s),(s)
Saint Helena,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
Saint Pierre and Miquelon,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
Saint Vincent/Grenadines,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,8894,9101,9235,9238,9400,9472,8907,9476,9157,8810,10077,10796,11496,11098,10749,11429,10315,10908,11470,11841,11702
Senegal,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s)
Serbia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,--,--,--,--,--,--,--,--,--,--,--,--,--,17,17,19,20,24,21,20,21
Seychelles,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,(s),0.1,(s),(s),(s),(s),(s),(s),,(s),(s),(s),(s),(s),(s),(s),,,(s),(s),(s)
Singapore,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,-0.6,-3.1,-1.2,6.4,5.4,3.2,6.3,13,15,8.3,9.7,9.8,8.6,10,12,24,21,21,23,25,25
Slovakia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,0.8,1.1,2,2.1,2,1.7,1.6,3.2,4.1,9,9.9,11,13,13,8.6,11,7.5,7.7,9.9,8.8,9.1
Slovenia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,(s),-0.1,(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),0.1,0.1,0.1,0.2,0.1,0.4,0.3,0.3,0.3
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,(s),(s),(s),(s),(s),(s),(s),,,,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,195,195,207,208,210,214,195,202,209,211,202,234,215,201,196,194,183,182,184,183,182
Spain,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,34,34,32,26,23,25,22,24,28,28,33,38,38,38,28,28,29,29,28,34,41
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,-0.3,-0.4,-0.4,-0.6,-0.5,-0.4,-0.4,-0.4,-0.5,-0.5,-0.6,-0.5,-0.6,-0.4,-0.6,-0.6,-0.6,-0.5,-0.3,-0.6,-0.6
Sudan and South Sudan,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,0.1,-0.1,(s),1.8,4.8,9.8,69,187,211,240,272,345,352,381,467,480,486,489,455,115,250
Suriname,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,5,6,7,7.5,5,7,10,9.6,9.5,9.5,9.5,9.5,9.4,11,13,15,15,15,15,15,14
Swaziland,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
Sweden,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,1.1,0.8,2.1,2.1,1.8,1.9,2.3,1.6,2.1,3.5,4.1,4.6,3.9,5.3,7.3,9.2,11,10,11,12,12
Switzerland,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,1.4,1.6,1.6,1.7,2,2.2,2,1.7,1.8,1.9,1.6,3.4,3.3,4,3.5,3.7,3.9,3.6,3.6,3,3.9
Syria,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,558,563,584,601,579,572,558,547,513,520,510,488,464,439,412,400,400,416,369,167,72
Taiwan,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,-4.7,-4.3,-7,-6.3,-7,-7.1,-7.7,-6.4,3.6,8.4,7.9,11,16,21,26,16,28,28,26,28,28
Tajikistan,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,0.8,0.6,0.7,0.6,0.6,0.5,0.5,0.4,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2
Tanzania,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,,,,,,,,,,(s),(s),(s),(s),(s)
Thailand,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,70,81,92,100,133,147,158,182,192,206,261,259,310,318,326,358,390,391,384,406,523
Timor-Leste (East Timor),,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,--,--,--,--,--,--,--,--,--,--,,52,94,101,78,100,96,87,84,79,79
Togo,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
Tonga,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,140,137,138,137,131,130,139,140,133,144,161,151,171,179,157,157,153,146,138,118,117
Tunisia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,102,96,90,88,85,81,84,80,73,79,77,82,77,78,86,85,81,79,67,66,64
Turkey,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,74,72,66,66,67,66,58,51,47,47,46,43,46,45,46,49,55,58,57,59,60
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,91,87,82,90,106,126,154,157,168,193,200,214,197,177,181,189,198,203,224,245,260
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
U.S. Pacific Islands,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
U.S. Territories,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,4.8,12,12,14,14,15,14,15,14,15,18,19,19,18,18,17,17,15,17,8.1,
Uganda,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,84,90,88,92,95,90,87,85,87,85,89,97,99,108,108,99,94,83,80,81,75
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,2305,2343,2396,2439,2480,2519,2337,2572,2500,2387,2661,2767,2845,2948,2947,3047,2795,2815,3216,3401,3444
United Kingdom,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,2144,2654,2819,2892,2815,2918,2982,2567,2595,2562,2392,2074,1862,1692,1691,1590,1510,1406,1167,1005,914
Uruguay,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,0.2,0.3,(s),0.2,0.5,0.5,0.5,0.4,0.5,0.4,0.5,0.9,1,1,1,1,0.8,1.2,1.3,1.5,1.5
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,86,115,160,164,157,161,147,152,156,153,156,142,125,107,112,110,72,92,103,103,95
Vanuatu,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
Venezuela,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,2634,2796,2982,3175,3518,3409,3109,3461,3334,2924,2581,2855,2867,2747,2682,2702,2710,2599,2684,2685,2685
Vietnam,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,120,141,173,175,191,246,290,316,357,340,353,403,386,359,330,310,340,332,324,364,354
"Virgin Islands,  U.S.",,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
"Virgin Islands, British",,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
Wake Island,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
Yemen,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,218,335,345,341,362,387,408,437,440,439,431,406,402,378,320,300,286,281,217,169,131
Zambia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,0.1,0.1,0.1,0.1,0.1,0.2,(s),(s),0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,(s),(s),0.1,0.1,0.1,0.1
,,,,,,,,,,,,,,,,,,,,,,
Sum,,47647.8,49954.4,51674.7,53314.7,55376.2,57031.6,56217.4,58565.9,58120.6,56906,58734,61731.5,63454.2,63188.1,62773.3,64042.3,62448.3,63749.3,63611.7,64296.9,63359
